,brand,capacity,types,speed ,color,rating,price,warranty
239,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
240,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
241,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
242,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
243,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
244,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
245,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
246,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
247,realme,5 kg,Front Load,1400,Grey,4.2,"7,990",2
248,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
249,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
250,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
251,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
252,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
253,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
254,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
255,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
256,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
257,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
